slot,row,col,robot_name,load_run,scene_xml,checkpoint
0,0,0,g006_o007,g006_o/g006_o007,src/unilab/assets/robots/newhex/g006_o007/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g006_o/g006_o007/model_1000.pt
1,0,1,g010_o025,g010_o/g010_o025,src/unilab/assets/robots/newhex/g010_o025/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g010_o/g010_o025/model_1000.pt
2,0,2,g011_o020,g011_o/g011_o020,src/unilab/assets/robots/newhex/g011_o020/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g011_o/g011_o020/model_1000.pt
3,0,3,g012_o031,g012_o/g012_o031,src/unilab/assets/robots/newhex/g012_o031/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g012_o/g012_o031/model_1000.pt
4,0,4,g020_o021,g020_o/g020_o021,src/unilab/assets/robots/newhex/g020_o021/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g020_o/g020_o021/model_1000.pt
5,0,5,g020_o023,g020_o/g020_o023,src/unilab/assets/robots/newhex/g020_o023/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g020_o/g020_o023/model_1000.pt
6,1,0,g021_o024,g021_o/g021_o024,src/unilab/assets/robots/newhex/g021_o024/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g021_o/g021_o024/model_1000.pt
7,1,1,g021_o043,g021_o/g021_o043,src/unilab/assets/robots/newhex/g021_o043/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g021_o/g021_o043/model_1000.pt
8,1,2,g022_o041,g022_o/g022_o041,src/unilab/assets/robots/newhex/g022_o041/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g022_o/g022_o041/model_1000.pt
9,1,3,g023_o020,g023_o/g023_o020,src/unilab/assets/robots/newhex/g023_o020/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g023_o/g023_o020/model_1000.pt
10,1,4,g023_o045,g023_o/g023_o045,src/unilab/assets/robots/newhex/g023_o045/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g023_o/g023_o045/model_1000.pt
11,1,5,g024_o006,g024_o/g024_o006,src/unilab/assets/robots/newhex/g024_o006/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g024_o/g024_o006/model_1000.pt
12,2,0,g025_o041,g025_o/g025_o041,src/unilab/assets/robots/newhex/g025_o041/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g025_o/g025_o041/model_1000.pt
13,2,1,g027_o037,g027_o/g027_o037,src/unilab/assets/robots/newhex/g027_o037/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g027_o/g027_o037/model_1000.pt
14,2,2,g027_o049,g027_o/g027_o049,src/unilab/assets/robots/newhex/g027_o049/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g027_o/g027_o049/model_1000.pt
15,2,3,g028_o010,g028_o/g028_o010,src/unilab/assets/robots/newhex/g028_o010/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g028_o/g028_o010/model_1000.pt
16,2,4,g028_o015,g028_o/g028_o015,src/unilab/assets/robots/newhex/g028_o015/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g028_o/g028_o015/model_1000.pt
17,2,5,g029_o012,g029_o/g029_o012,src/unilab/assets/robots/newhex/g029_o012/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g029_o/g029_o012/model_1000.pt
18,3,0,g030_o001,g030_o/g030_o001,src/unilab/assets/robots/newhex/g030_o001/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g030_o/g030_o001/model_1000.pt
19,3,1,g030_o007,g030_o/g030_o007,src/unilab/assets/robots/newhex/g030_o007/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g030_o/g030_o007/model_1000.pt
20,3,2,g030_o026,g030_o/g030_o026,src/unilab/assets/robots/newhex/g030_o026/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g030_o/g030_o026/model_1000.pt
21,3,3,g030_o027,g030_o/g030_o027,src/unilab/assets/robots/newhex/g030_o027/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g030_o/g030_o027/model_1000.pt
22,3,4,g031_o008,g031_o/g031_o008,src/unilab/assets/robots/newhex/g031_o008/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g031_o/g031_o008/model_1000.pt
23,3,5,g031_o028,g031_o/g031_o028,src/unilab/assets/robots/newhex/g031_o028/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g031_o/g031_o028/model_1000.pt
24,4,0,g032_o038,g032_o/g032_o038,src/unilab/assets/robots/newhex/g032_o038/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g032_o/g032_o038/model_1000.pt
25,4,1,g033_o011,g033_o/g033_o011,src/unilab/assets/robots/newhex/g033_o011/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g033_o/g033_o011/model_1000.pt
26,4,2,g034_o009,g034_o/g034_o009,src/unilab/assets/robots/newhex/g034_o009/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g034_o/g034_o009/model_1000.pt
27,4,3,g034_o023,g034_o/g034_o023,src/unilab/assets/robots/newhex/g034_o023/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g034_o/g034_o023/model_1000.pt
28,4,4,g036_o034,g036_o/g036_o034,src/unilab/assets/robots/newhex/g036_o034/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g036_o/g036_o034/model_1000.pt
29,4,5,g037_o010,g037_o/g037_o010,src/unilab/assets/robots/newhex/g037_o010/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g037_o/g037_o010/model_1000.pt
30,5,0,g038_o010,g038_o/g038_o010,src/unilab/assets/robots/newhex/g038_o010/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g038_o/g038_o010/model_1000.pt
31,5,1,g038_o024,g038_o/g038_o024,src/unilab/assets/robots/newhex/g038_o024/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g038_o/g038_o024/model_1000.pt
32,5,2,g038_o047,g038_o/g038_o047,src/unilab/assets/robots/newhex/g038_o047/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g038_o/g038_o047/model_1000.pt
33,5,3,g039_o041,g039_o/g039_o041,src/unilab/assets/robots/newhex/g039_o041/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g039_o/g039_o041/model_1000.pt
34,5,4,g040_o001,g040_o/g040_o001,src/unilab/assets/robots/newhex/g040_o001/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g040_o/g040_o001/model_1000.pt
35,5,5,g040_o019,g040_o/g040_o019,src/unilab/assets/robots/newhex/g040_o019/scene.xml,logs/rsl_rl_ppo/NewhexJoystickFlat/g040_o/g040_o019/model_1000.pt
