slot,row,col,robot_name,load_run,scene_xml,checkpoint
0,0,0,g035_o046,g035_o/g035_o046,src/unilab/assets/robots/newhex/g035_o046/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g035_o/g035_o046/model_1000.pt
1,0,1,g055_o023,g055_o/g055_o023,src/unilab/assets/robots/newhex/g055_o023/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g055_o/g055_o023/model_1000.pt
2,0,2,g025_o020,g025_o/g025_o020,src/unilab/assets/robots/newhex/g025_o020/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g025_o/g025_o020/model_1000.pt
3,0,3,g047_o035,g047_o/g047_o035,src/unilab/assets/robots/newhex/g047_o035/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g047_o/g047_o035/model_1000.pt
4,0,4,g058_o011,g058_o/g058_o011,src/unilab/assets/robots/newhex/g058_o011/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g058_o/g058_o011/model_1000.pt
5,0,5,g047_o047,g047_o/g047_o047,src/unilab/assets/robots/newhex/g047_o047/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g047_o/g047_o047/model_1000.pt
6,1,0,g031_o034,g031_o/g031_o034,src/unilab/assets/robots/newhex/g031_o034/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g031_o/g031_o034/model_1000.pt
7,1,1,g046_o004,g046_o/g046_o004,src/unilab/assets/robots/newhex/g046_o004/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g046_o/g046_o004/model_1000.pt
8,1,2,g045_o010,g045_o/g045_o010,src/unilab/assets/robots/newhex/g045_o010/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g045_o/g045_o010/model_1000.pt
9,1,3,g051_o011,g051_o/g051_o011,src/unilab/assets/robots/newhex/g051_o011/scene.xml,logs/rsl_rl_ppo/NewhexRFTouch/g051_o/g051_o011/model_1000.pt
