index,name,generation,locomotion_fitness,manipulation_fitness,entered_population,final_name,genome,Final mean reward,base_lin_vel_zero,base_ang_vel_zero,support_feet_still,support_feet_vel,support_feet_contact,rf_target,action_rate,torques,dof_vel,dof_acc,energy,undesired_contacts
1,g000_p000,0,193.23,89.05,1,g032_p037,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",89.0460102844,1.99214076996,0.965858340263,0.862719774246,0.945192039013,0,4.9583978653,-0.0435640327632,-0.0253201406449,-0.00531580997631,-0.00741871586069,-0.000291371718049,
2,g000_p001,0,177.23,64.99,1,g001_p030,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",64.9867963791,1.97576463223,0.971489787102,1.62656259537,0.976009845734,0.000179036462214,1.25249767303,-0.0242174845189,-0.0362794809043,-0.00357301486656,-0.00364357978106,-0.000260709261056,
3,g000_p002,0,185.4,68.13,1,g004_p049,"[0.3,0.6,0.2,0.1,0.4,-0.0,1.57,-0.0,0.1,0.0,0.0,1.57,-0.0,-0.0,0.0,0.2,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-0.0,0.4,0.0,0.0]",68.1346882629,1.97794747353,0.962559223175,1.37962436676,0.980583846569,0.000260416680248,1.54457402229,-0.0227425005287,-0.0299934707582,-0.00362432445399,-0.00439321948215,-0.000234848848777,
4,g000_p003,0,103.51,72.43,0,0,"[1.0,0.5,0.2,0.4,0.6,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-1.57,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.4,0.0]",72.4306111526,1.99736630917,0.985973060131,0.00079440016998,0.928639769554,0.00501302070916,3.87835454941,-0.0650478005409,-0.0762799978256,-0.00420787231997,-0.00620575156063,-0.000473770138342,
5,g000_p004,0,176.58,59.03,1,g001_p037,"[0.4,0.4,0.4,0.2,0.6,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.2,0.0,-0.0,-1.57,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.3,0.0,1.57,-0.0,-0.0,0.0,0.4,0.0]",59.0277215958,1.99632918835,0.987240672112,0.941007316113,0.95671582222,0.000455729197711,1.00822091103,-0.0240791738033,-0.0282556619495,-0.00362700666301,-0.00288864644244,-0.000265708571533,
6,g000_p005,0,141.59,56.31,0,0,"[0.6,0.6,0.2,0.2,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0,-0.0,-0.0,1.57,0.3,0.0,0.0,1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0]",56.3080736923,1.99807047844,0.993625819683,0.15224930644,0.906368196011,0.0029296875,1.68508481979,-0.0453080162406,-0.0410859957337,-0.00311097409576,-0.00207176757976,-0.000310390110826,
7,g000_p006,0,177.63,76.85,1,g002_p030,"[0.2,0.2,0.4,0.2,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.1,1.57,-0.0,-0.0,0.0,0.3,0.0,1.57,-0.0,-0.0,0.5,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.3,1.57,-0.0,-0.0,0.5,0.0,0.0]",76.8520758247,1.94672822952,0.897602677345,0.232968300581,0.914050579071,0.0107421875,3.68259954453,-0.054849408567,-0.0479577034712,-0.00544841401279,-0.00848217308521,-0.000489824335091,
8,g000_p007,0,184.94,53.35,1,g002_p047,"[0.6,0.3,0.2,0.1,0.4,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.1,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.3,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-0.0,0.4,0.0,0.0]",53.3516559601,1.89707946777,0.92912453413,0.385825246572,0.924217104912,0.00358072924428,1.31192946434,-0.0340301543474,-0.0359239019454,-0.00417265063152,-0.00551637774333,-0.000379937089747,
9,g000_p008,0,161.75,78.17,1,g001_p031,"[0.6,0.6,0.2,0.1,0.8,-0.0,1.57,1.57,0.0,0.0,0.1,-1.57,-1.57,-1.57,0.0,0.0,0.1,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0]",78.1721602631,1.99631392956,0.977943897247,1.15924870968,0.974429309368,0,3.15263795853,-0.0474636666477,-0.0307303294539,-0.00798728503287,-0.0142308240756,-0.000515882624313,
10,g000_p009,0,111.43,84.95,1,g001_p035,"[0.3,0.3,0.2,0.2,0.3,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.1,1.57,-0.0,-0.0,0.0,0.2,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,3.14,-0.0,1.57,0.0,0.0,0.3,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0]",84.9513762283,1.92298102379,0.914195716381,0.146272093058,0.78438615799,0.00162760424428,5.22426319122,-0.0504380315542,-0.0291498117149,-0.00718681700528,-0.0122471330687,-0.000554582104087,
