index,name,generation,locomotion_fitness,manipulation_fitness,entered_population,final_name,genome,Final mean reward,tracking_lin_vel,tracking_ang_vel,lin_vel_z,ang_vel_xy,base_height,action_rate,torques,dof_vel,energy,similar_to_default,contact,contact_forces,feet_slide,swing_feet_z,orientation,dof_acc,undesired_contacts
1,g000_p000,0,193.23,89.05,1,g032_p037,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",193.225470123,3.95280623436,1.98250889778,-0.0636005625129,-0.0129680139944,-0.00616043340415,-0.108146235347,-0.0356973260641,-0.0418164990842,-0.00428723962978,0,1.38069665432,-0.0818090736866,-0.0249239411205,2.30905771255,-0.00660023186356,-0.0678908526897,
2,g000_p001,0,177.23,64.99,1,g001_p030,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",177.231526108,3.89315032959,1.95306372643,-0.038034632802,-0.0219921730459,-0.0101475035772,-0.14699986577,-0.0533896014094,-0.0332071781158,-0.00472547486424,0,1.25823974609,-0.0395377725363,-0.0183106698096,1.86264967918,-0.00922281108797,-0.0460721552372,
3,g000_p002,0,185.4,68.13,1,g004_p049,"[0.3,0.6,0.2,0.1,0.4,-0.0,1.57,-0.0,0.1,0.0,0.0,1.57,-0.0,-0.0,0.0,0.2,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-0.0,0.4,0.0,0.0]",185.395578613,3.87317466736,1.97122597694,-0.0385439023376,-0.0105767324567,-0.00584610318765,-0.153006628156,-0.0432178527117,-0.0447845980525,-0.00431747036055,0,1.2927043438,-0.0249854829162,-0.0262905061245,2.02269983292,-0.00666014943272,-0.0691763311625,
4,g000_p003,0,103.51,72.43,0,0,"[1.0,0.5,0.2,0.4,0.6,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-1.57,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.4,0.0]",103.512834091,1.25211977959,1.29553675652,-0.00312387663871,-0.00235151872039,-0.317827820778,-0.089924864471,-0.0671538040042,-0.0106543581933,-0.00116768188309,0,1.13582360744,-0.00243101990782,-0.0063833030872,1.6213748455,-0.11235358566,-0.0134844705462,
5,g000_p004,0,176.58,59.03,1,g001_p037,"[0.4,0.4,0.4,0.2,0.6,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.2,0.0,-0.0,-1.57,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.3,0.0,1.57,-0.0,-0.0,0.0,0.4,0.0]",176.582303963,3.89289569855,1.94983959198,-0.0559759959579,-0.0545073375106,-0.0132322190329,-0.166020646691,-0.0433364808559,-0.0537941679358,-0.00611074641347,0,1.12613940239,-0.0619626119733,-0.0102839805186,2.18551230431,-0.0306611321867,-0.0644331127405,
6,g000_p005,0,141.59,56.31,0,0,"[0.6,0.6,0.2,0.2,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0,-0.0,-0.0,1.57,0.3,0.0,0.0,1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0]",141.592952957,1.94830298424,1.71622300148,-0.0559644401073,-0.0131389973685,-0.148750424385,-0.197789490223,-0.0728682726622,-0.0430006943643,-0.00902165006846,0,1.79858398438,-0.0213261917233,-0.0816762670875,1.9352325201,-0.0146780563518,-0.062056761235,
7,g000_p006,0,177.63,76.85,1,g002_p030,"[0.2,0.2,0.4,0.2,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.1,1.57,-0.0,-0.0,0.0,0.3,0.0,1.57,-0.0,-0.0,0.5,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.3,1.57,-0.0,-0.0,0.5,0.0,0.0]",177.631084938,3.83495950699,1.95849490166,-0.0396060608327,-0.0261790566146,-0.00169405085035,-0.0768288373947,-0.0379772000015,-0.0373172089458,-0.00433167209849,0,1.51936852932,-0.00526748225093,-0.00209187017754,2.84348726273,-0.00801467616111,-0.0405345223844,
8,g000_p007,0,184.94,53.35,1,g002_p047,"[0.6,0.3,0.2,0.1,0.4,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.1,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.3,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-0.0,0.4,0.0,0.0]",184.938949676,3.90692281723,1.97154045105,-0.0446161739528,-0.0115402070805,-0.00682580238208,-0.177196606994,-0.0416340976954,-0.0383005365729,-0.00420607160777,0,1.30617272854,-0.0147054707631,-0.0389990769327,2.14369535446,-0.00346182845533,-0.0798530876637,
9,g000_p008,0,161.75,78.17,1,g001_p031,"[0.6,0.6,0.2,0.1,0.8,-0.0,1.57,1.57,0.0,0.0,0.1,-1.57,-1.57,-1.57,0.0,0.0,0.1,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0]",161.753349915,3.74587774277,1.92442071438,-0.127923935652,-0.223948866129,-0.00550724472851,-0.212358042598,-0.0407641679049,-0.0569404475391,-0.0074602002278,0,1.09781908989,-0.0130475610495,-0.0104517303407,1.75096690655,-0.0711998268962,-0.137084230781,
10,g000_p009,0,111.43,84.95,1,g001_p035,"[0.3,0.3,0.2,0.2,0.3,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.1,1.57,-0.0,-0.0,0.0,0.2,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,3.14,-0.0,1.57,0.0,0.0,0.3,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0]",111.431860466,1.21241116524,1.67384815216,-0.0231148134917,-0.00625383434817,-0.0848309621215,-0.087602853775,-0.0430569201708,-0.0256669931114,-0.0020144386217,0,0.997314453125,-0.000815597537439,-5.41679291928e-05,1.72678089142,-0.0455210208893,-0.026283916086,
